number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_sharpe,user_attrs_std_accuracy,user_attrs_std_combined,user_attrs_std_f1_weighted,user_attrs_std_sharpe,state,mean_f1_weighted,std_f1_weighted,mean_accuracy,std_accuracy,mean_sharpe,std_sharpe,mean_combined,std_combined,trial_number
10,0.5094582038076443,2025-09-10 15:06:13.767700,2025-09-10 15:06:25.786605,0 days 00:00:12.018905,0.6101093113217062,0.6073072192448478,0.7763941047372559,0.1228501065842853,0.01198572485824121,5,1,387,1.5169592656705797e-08,1.4316073858824212e-08,0.8462729118095622,0.46321044546851,0.5094582038076443,0.43516213542034454,1.8082260729237039,0.12599515733763336,0.27305060930197794,0.13143932179870513,2.427672057568994,COMPLETE,0.43516213542034454,0.13143932179870513,0.46321044546851,0.12599515733763336,1.8082260729237039,2.427672057568994,0.5094582038076443,0.27305060930197794,10
11,0.5470760825383298,2025-09-10 15:06:25.789122,2025-09-10 15:06:29.991624,0 days 00:00:04.202502,0.6899854745046147,0.993649963222156,0.7702600691371295,0.031180719426154163,0.012308729029036626,3,6,400,1.061791475569621,1.196186342397559e-08,0.974249843845204,0.3932411674347158,0.5470760825383298,0.35795489512181033,1.6345186364064785,0.11285734252674794,0.21517039159268486,0.133504992748541,1.3483947498421682,COMPLETE,0.35795489512181033,0.133504992748541,0.3932411674347158,0.11285734252674794,1.6345186364064785,1.3483947498421682,0.5470760825383298,0.21517039159268486,11
12,0.5423165387850872,2025-09-10 15:06:29.994617,2025-09-10 15:06:38.525697,0 days 00:00:08.531080,0.6921891885600475,0.7121821088710281,0.8331250812575611,1.2581651736478756,0.021019663009074877,5,2,368,1.1186851582330941,1.7795437558143078e-07,0.9966461920856011,0.45714285714285713,0.5423165387850872,0.4373546195993566,1.9832752398691431,0.12697002465339347,0.24368737531873244,0.13079638058457324,2.2389711691139027,COMPLETE,0.4373546195993566,0.13079638058457324,0.45714285714285713,0.12697002465339347,1.9832752398691431,2.2389711691139027,0.5423165387850872,0.24368737531873244,12
13,0.5486032170947528,2025-09-10 15:06:38.527692,2025-09-10 15:06:45.871638,0 days 00:00:07.343946,0.6574085581517105,0.8500297718752451,0.7359987087791505,0.8984606190215608,0.019700900912899534,4,6,329,0.030181407008346203,1.6865805315828752e-07,0.870033406151985,0.44754224270353304,0.5486032170947528,0.4404691623148046,1.9444914472648818,0.12220574414571851,0.2398310189048887,0.12101252700917144,2.066366850134013,COMPLETE,0.4404691623148046,0.12101252700917144,0.44754224270353304,0.12220574414571851,1.9444914472648818,2.066366850134013,0.5486032170947528,0.2398310189048887,13
14,0.5119855460994206,2025-09-10 15:06:45.874629,2025-09-10 15:06:54.644956,0 days 00:00:08.770327,0.7406110702134013,0.6066340014913569,0.8319381689500698,2.0630943049413735,0.01864753267237267,4,4,503,3.543445409296221e-07,4.543518275471721e-06,0.907236029013873,0.45153609831029184,0.5119855460994206,0.44074000279807984,1.7763281118542054,0.11932139868068194,0.2839069655172649,0.12184990440952613,2.368234743361985,COMPLETE,0.44074000279807984,0.12184990440952613,0.45153609831029184,0.11932139868068194,1.7763281118542054,2.368234743361985,0.5119855460994206,0.2839069655172649,14
15,0.5192069569532174,2025-09-10 15:06:54.646950,2025-09-10 15:07:18.030122,0 days 00:00:23.383172,0.8791516251316017,0.820465436999865,0.7326164039768802,0.6879621326898774,0.010760303329279759,6,7,999,0.062273052547217926,6.767992456082804e-08,0.78212251137321,0.4732718894009217,0.5192069569532174,0.4487313402403977,2.035591445071928,0.13005855112977247,0.31010439944423945,0.13927362376615549,2.845477129307733,COMPLETE,0.4487313402403977,0.13927362376615549,0.4732718894009217,0.13005855112977247,2.035591445071928,2.845477129307733,0.5192069569532174,0.31010439944423945,15
16,0.5774989636437405,2025-09-10 15:07:18.033117,2025-09-10 15:07:23.335312,0 days 00:00:05.302195,0.7222291876930114,0.7355025505235155,0.7178655675425164,2.006955679965454,0.026705272162696678,4,3,295,1.683549323289675e-06,7.335681723969372e-05,0.6241802904803194,0.4573732718894009,0.5774989636437405,0.45160496691830637,2.0640202299658905,0.11389614801840142,0.20736498072109896,0.11169046984594601,1.8850292862031057,COMPLETE,0.45160496691830637,0.11169046984594601,0.4573732718894009,0.11389614801840142,2.0640202299658905,1.8850292862031057,0.5774989636437405,0.20736498072109896,16
17,0.5620257759616035,2025-09-10 15:07:23.338299,2025-09-10 15:07:27.700525,0 days 00:00:04.362226,0.8420733044490769,0.736899590316984,0.7058251414249984,2.3315165551418,0.08468125972322534,6,1,499,1.267116066379866e-06,0.3715866459908924,0.6166371229130209,0.46313364055299544,0.5620257759616035,0.4456013895721256,2.1204501952431114,0.12309554264046448,0.22593090584383532,0.1280047360241596,2.2147204848317017,COMPLETE,0.4456013895721256,0.1280047360241596,0.46313364055299544,0.12309554264046448,2.1204501952431114,2.2147204848317017,0.5620257759616035,0.22593090584383532,17
18,0.5203280037576999,2025-09-10 15:07:27.703520,2025-09-10 15:07:33.482574,0 days 00:00:05.779054,0.7404003157369232,0.6800919775243951,0.7255768648393583,1.77343364952609,0.027306200020171468,3,3,296,2.0124312631192586e-08,0.0025711778974863812,0.6039876256011825,0.43556067588325653,0.5203280037576999,0.42099938198414444,1.5694872182978223,0.11064800398467806,0.2544806824761069,0.11976241365052495,1.7881147904280303,COMPLETE,0.42099938198414444,0.11976241365052495,0.43556067588325653,0.11064800398467806,1.5694872182978223,1.7881147904280303,0.5203280037576999,0.2544806824761069,18
19,0.5348820541904337,2025-09-10 15:07:33.486092,2025-09-10 15:07:36.387536,0 days 00:00:02.901444,0.6434130491696393,0.6585718696131919,0.8372974086416752,2.8460273436846353,0.19685607582221315,4,3,284,2.4109115346466046e-07,6.748046678730598e-05,0.7434899702522125,0.4433179723502304,0.5348820541904337,0.42193744164840147,1.870712682774894,0.11844861939401684,0.235957352258727,0.13626568335952122,2.0712581530536442,COMPLETE,0.42193744164840147,0.13626568335952122,0.4433179723502304,0.11844861939401684,1.870712682774894,2.0712581530536442,0.5348820541904337,0.235957352258727,19
