number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_metrics,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_hit_ratio,user_attrs_mean_sharpe,user_attrs_mean_sortino,state
10,0.06825361285038706,2025-09-11 14:23:47.609191,2025-09-11 14:23:48.007613,0 days 00:00:00.398422,0.8182873120328862,3.4512353678457264,0.2704729722717779,3,5,972,1.319604577594621e-06,2.258564735153116e-05,0.9810323243403002,"{'f1_weighted': [0.34394420754679184, 0.3330132818660633], 'accuracy': [0.3449017199017199, 0.33763440860215055], 'sharpe': [-60.36417109603005, -61.900324386413615], 'sortino': [-70.91908629826858, -73.50592880252817], 'hit_ratio': [0.408994484514213, 0.42755741127348645], 'combined': [0.06898034398034399, 0.06752688172043012]}",0.34126806425193523,0.06825361285038706,0.3384787447064276,0.4182759478938497,-61.13224774122183,-72.21250755039839,COMPLETE
11,0.07243115864422289,2025-09-11 14:23:48.008629,2025-09-11 14:23:48.434374,0 days 00:00:00.425745,0.7971457481268196,1.284908682843015,0.26817078508151854,8,7,846,1.5237485513554605e-08,0.0005739916857812081,0.9338091332349986,"{'f1_weighted': [0.36700700656480556, 0.29887475759250887], 'accuracy': [0.3657862407862408, 0.3585253456221198], 'sharpe': [-25.494839242680815, -134.9839220355524], 'sortino': [-28.937006356720975, -155.91433923761193], 'hit_ratio': [0.4688581314878893, 0.31862537123462026], 'combined': [0.0731572481640218, 0.07170506912442397]}",0.3621557932041803,0.07243115864422289,0.33294088207865724,0.3937417513612548,-80.23938063911662,-92.42567279716646,COMPLETE
12,0.4655186277038807,2025-09-11 14:23:48.435371,2025-09-11 14:23:48.924372,0 days 00:00:00.489001,0.7874820875551369,1.3687190981058694,0.16145633711303545,10,7,274,1.1942907393273418e-07,0.0002750941650239484,0.8884170683398008,"{'f1_weighted': [0.32657225660478434, 0.18275356969973325], 'accuracy': [0.3277027027027027, 0.32749615975422425], 'sharpe': [12.669262921015868, -173.31104573771538], 'sortino': [18.091195862680355, -224.01835446350591], 'hit_ratio': [0.5060523233112065, 0.3031645569620253], 'combined': [0.8655380234569165, 0.06549923195084485]}",0.32759943122846347,0.4655186277038807,0.2546629131522588,0.4046084401366159,-80.32089140834975,-102.96357930041277,COMPLETE
13,0.07313642377879984,2025-09-11 14:23:48.925369,2025-09-11 14:23:49.538440,0 days 00:00:00.613071,0.6021809558214184,0.8598909516919426,0.02594475096705173,7,7,852,5.48952091566998e-07,2.302814282848498e-06,0.9997449754566204,"{'f1_weighted': [0.36456915638739706, 0.35093772501006726], 'accuracy': [0.36240786240786244, 0.36682027649769583], 'sharpe': [-7.534534259435765, -98.60701837249677], 'sortino': [-8.59270445568779, -115.41760444230327], 'hit_ratio': [0.48272598201609085, 0.36169303120991875], 'combined': [0.07290879225806052, 0.07336405529953917]}",0.36461406945277913,0.07313642377879984,0.35775344069873216,0.4222095066130048,-53.07077631596626,-62.00515444899553,COMPLETE
14,0.06940349001680794,2025-09-11 14:23:49.538440,2025-09-11 14:23:50.076661,0 days 00:00:00.538221,0.7337344348736515,2.4662494972156654,0.17080659935001288,4,4,241,4.770858363869531e-07,0.0052565785469122096,0.7664125867669591,"{'f1_weighted': [0.3687126727419829, 0.18104394259550097], 'accuracy': [0.3657862407862408, 0.3244239631336406], 'sharpe': [-6.951613956724587, -168.6879892983818], 'sortino': [-7.963097111306048, -219.67048502011738], 'hit_ratio': [0.48615090735434574, 0.30916509730069053], 'combined': [0.07392218740688776, 0.06488479262672812]}",0.3451051019599407,0.06940349001680794,0.27487830766874194,0.39765800232751813,-87.8198016275532,-113.81679106571171,COMPLETE
15,0.06754693600571215,2025-09-11 14:23:50.077658,2025-09-11 14:23:50.581772,0 days 00:00:00.504114,0.8561711433906497,0.9431541406805364,0.16625944364237574,8,6,780,0.0007168796144289275,1.3450924846092893e-08,0.8704442519433381,"{'f1_weighted': [0.35019251045383, 0.18001711402616377], 'accuracy': [0.34735872235872234, 0.328110599078341], 'sharpe': [-18.455788402971034, -170.86372043239177], 'sortino': [-23.506872983834896, -223.3968603074842], 'hit_ratio': [0.45535714285714285, 0.30905145691258523], 'combined': [0.06947175219575612, 0.0656221198156682]}",0.33773466071853164,0.06754693600571215,0.2651048122399969,0.38220429988486404,-94.6597544176814,-123.45186664565955,COMPLETE
16,0.07441556145180782,2025-09-11 14:23:50.582771,2025-09-11 14:23:51.147477,0 days 00:00:00.564706,0.7019847524469807,0.10595209871609967,0.03167502366659872,6,6,545,1.0190362525687026e-08,1.6872706316076912e-05,0.934429125910761,"{'f1_weighted': [0.37474078483160217, 0.30789451102859694], 'accuracy': [0.37223587223587223, 0.36682027649769583], 'sharpe': [-6.663638174213836, -126.48042639638844], 'sortino': [-7.958607855431516, -144.51413016420346], 'hit_ratio': [0.48001902949571834, 0.3276668083297918], 'combined': [0.07546706760407647, 0.07336405529953917]}",0.36952807436678403,0.07441556145180782,0.34131764793009955,0.40384291891275503,-66.57203228530113,-76.2363690098175,COMPLETE
17,0.06429038485514127,2025-09-11 14:23:51.148486,2025-09-11 14:23:51.712515,0 days 00:00:00.564029,0.769400478413884,1.9009136319305537,0.2020210933074639,9,8,972,3.0163367481813368e-06,1.2157438018547918e-06,0.9406069544760227,"{'f1_weighted': [0.34464518237798997, 0.20870522505868747], 'accuracy': [0.34797297297297297, 0.29493087557603687], 'sharpe': [-28.140633329919762, -105.0462252112514], 'sortino': [-34.22721655968522, -146.06101788218032], 'hit_ratio': [0.47049312853678255, 0.3673913043478261], 'combined': [0.06959459459507518, 0.05898617511520737]}",0.3214519242745049,0.06429038485514127,0.2766752037183387,0.41894221644230434,-66.59342927058557,-90.14411722093277,COMPLETE
18,0.4672395048919289,2025-09-11 14:23:51.713512,2025-09-11 14:23:52.256478,0 days 00:00:00.542966,0.6472416279403943,3.2211163506570806,0.03604696968977697,6,4,356,1.2265929925801488e-07,0.0014644927429029314,0.6026168324121943,"{'f1_weighted': [0.3552504938399512, 0.16916805275675886], 'accuracy': [0.35411547911547914, 0.31827956989247314], 'sharpe': [24.532470841808863, -167.02253577559998], 'sortino': [31.48298343343341, -218.276371775799], 'hit_ratio': [0.5378961874138724, 0.31318167653474605], 'combined': [0.8708230958053632, 0.06365591397849463]}",0.3361975245039761,0.4672395048919289,0.26220927329835503,0.4255389319743092,-71.24503246689555,-93.39669417118279,COMPLETE
19,0.4397608848191967,2025-09-11 14:23:52.257475,2025-09-11 14:23:52.786658,0 days 00:00:00.529183,0.8469529877466562,3.416581324352393,0.03448210950637618,4,1,315,1.849924063820434e-07,0.0021657848820806577,0.6172803398163924,"{'f1_weighted': [0.35272649942834466, 0.221815551704045], 'accuracy': [0.35411547911547914, 0.290937019969278], 'sharpe': [2.71900969688568, -40.86298092082798], 'sortino': [2.763769273084755, -65.49014526537425], 'hit_ratio': [0.5138476755687438, 0.4240545567265964], 'combined': [0.8213343656445378, 0.05818740399385561]}",0.3225262495423786,0.4397608848191967,0.2872710255661948,0.4689511161476701,-19.07198561197115,-31.36318799614475,COMPLETE
