trial,fold,f1_weighted,accuracy,sharpe,sortino,hit_ratio,combined
0,0,0.33074820339544864,0.3369164619164619,23.800742525813387,32.86676454854483,0.5257380772142316,0.8673832923464322
0,1,0.18434201318287222,0.3284178187403994,-174.20888103624546,-224.54178572001405,0.30225182366000636,0.06568356374807988
1,0,0.3674243982615124,0.36486486486486486,14.290542992127406,17.29811214365815,0.5192754296330702,0.8729724754813734
1,1,0.30789451102859694,0.36682027649769583,-126.48042639638844,-144.51413016420346,0.3276668083297918,0.07336405529953917
2,0,0.3700654430417648,0.3679361179361179,3.7435779538130993,4.690973684026269,0.4966139954853273,0.8550896367218295
2,1,0.221815551704045,0.290937019969278,-40.86298092082798,-65.49014526537425,0.4240545567265964,0.05818740399385561
3,0,0.3449365154911838,0.343980343980344,-31.550505412349114,-37.88543734862933,0.4438943894389439,0.0687960687960847
3,1,0.32603936493874935,0.3640552995391705,-121.47081882436726,-132.7993307176853,0.3057099545224861,0.0728110599078341
4,0,0.3833407278117684,0.3799140049140049,-6.783205242578615,-8.034136634596209,0.4858576642335766,0.07688788680135038
4,1,0.18968370755370878,0.3293394777265745,-164.359335004482,-216.2929042515116,0.31401115933044016,0.0658678955453149
5,0,0.3076097066927116,0.3313882063882064,-72.67584341109153,-95.88579632729542,0.38870308435525824,0.06627764127764128
5,1,0.21799299229491415,0.2728110599078341,25.91102461918519,35.17210266055145,0.5526737111751521,0.8545622119770993
6,0,0.348774696186688,0.3495085995085995,-41.2130009400533,-48.0469143221864,0.44507962433646386,0.06990171990171991
6,1,0.320265554546708,0.376036866359447,-114.61763276603394,-112.5880916469857,0.30707196029776673,0.07520737327188941
7,0,0.3382647770135374,0.3415233415233415,-62.29885366084488,-70.19517570362639,0.39784500621632823,0.0683046683046683
7,1,0.18104394259550097,0.3244239631336406,-168.6879892983818,-219.67048502011738,0.30916509730069053,0.06488479262672812
8,0,0.3241551470130922,0.33261670761670764,-25.64610351379479,-34.87774633994899,0.4333084947839046,0.0665233415291643
8,1,0.17666276751083387,0.3271889400921659,-171.62715058005244,-224.20469911029198,0.307356608478803,0.06543778801843318
9,0,0.35584741617624577,0.35288697788697787,-22.080504617071963,-26.083675685990315,0.4646808510638298,0.07057739578329195
9,1,0.18001711402616377,0.328110599078341,-170.86372043239177,-223.3968603074842,0.30905145691258523,0.0656221198156682
10,0,0.34394420754679184,0.3449017199017199,-60.36417109603005,-70.91908629826858,0.408994484514213,0.06898034398034399
10,1,0.3330132818660633,0.33763440860215055,-61.900324386413615,-73.50592880252817,0.42755741127348645,0.06752688172043012
11,0,0.36700700656480556,0.3657862407862408,-25.494839242680815,-28.937006356720975,0.4688581314878893,0.0731572481640218
11,1,0.29887475759250887,0.3585253456221198,-134.9839220355524,-155.91433923761193,0.31862537123462026,0.07170506912442397
12,0,0.32657225660478434,0.3277027027027027,12.669262921015868,18.091195862680355,0.5060523233112065,0.8655380234569165
12,1,0.18275356969973325,0.32749615975422425,-173.31104573771538,-224.01835446350591,0.3031645569620253,0.06549923195084485
13,0,0.36456915638739706,0.36240786240786244,-7.534534259435765,-8.59270445568779,0.48272598201609085,0.07290879225806052
13,1,0.35093772501006726,0.36682027649769583,-98.60701837249677,-115.41760444230327,0.36169303120991875,0.07336405529953917
14,0,0.3687126727419829,0.3657862407862408,-6.951613956724587,-7.963097111306048,0.48615090735434574,0.07392218740688776
14,1,0.18104394259550097,0.3244239631336406,-168.6879892983818,-219.67048502011738,0.30916509730069053,0.06488479262672812
15,0,0.35019251045383,0.34735872235872234,-18.455788402971034,-23.506872983834896,0.45535714285714285,0.06947175219575612
15,1,0.18001711402616377,0.328110599078341,-170.86372043239177,-223.3968603074842,0.30905145691258523,0.0656221198156682
16,0,0.37474078483160217,0.37223587223587223,-6.663638174213836,-7.958607855431516,0.48001902949571834,0.07546706760407647
