time,open,high,low,close,volume,hour_of_day,day_of_week,is_asian_session,is_london_session,is_ny_session,is_overlap_session,session_transition,news_release_proximity,spread_proxy,volume_regime,obv_slope,tick_volume_ratio,order_flow_imbalance,ema_20,ema_50,ema_200,ema20_h1,ema50_h1,ema200_h1,ema20_h4,ema50_h4,ema_alignment_h1,ema_alignment_h4,ema_slope_acceleration,trend_strength_index,momentum_regime,macd_divergence,rsi_divergence,returns_skew_rolling,returns_kurt_rolling,atr_14,vol_expansion_rate,var_breach,var_breach_frequency,extreme_move_frequency,garch_forecast,vix_regime,put_call_ratio,commitment_traders,sentiment_extremes,shannon_entropy_sign_w144,sign_change_rate_w144,price_range_entropy_w144,shannon_entropy_sign_w288,sign_change_rate_w288,price_range_entropy_w288,power_mean_p-2.0,power_mean_p-1.0,power_mean_p0.0,power_mean_p1.0,power_mean_p2.0,renyi_entropy_q0.5,renyi_entropy_q1.0,renyi_entropy_q2.0,fractal_dim_14,fractal_dim_30,fractal_dim_60,volatility_regime,mlfinpy_cusum_event,mlfinpy_z_score_event,cusum_event,cusum_event_rate_w288,time_since_last_event_w288,cusum_event_rate_w1440,time_since_last_event_w1440,one_sided_dev_z_w288,one_sided_dev_z_w1440,max_drawup_w288,max_drawdown_w288,max_drawup_w1440,max_drawdown_w1440,label,side
2023-12-14 21:05:00+00:00,1.09885,1.09898,1.0988,1.09897,213.0,21,3,0,0,0,0,1,1.0,0.000180000000000069,-1,-64.8,1.0,0.0,1.0990868757826606,1.098855565345769,1.09491537998947,1.094660773834908,1.088703268112677,1.0834403531718728,1.0870768611072072,1.0839370069099186,1,1,-5.043167119600511e-06,9.523933468968215,-1,0,0,0.17255102208908482,0.7101784893695006,0.00034331766848282914,-7.175634139397897e-06,0,0.055,0.02,0.0,0,0.0,0.0,0,1.0802415373105398,0.4930555555555556,2.48051128580585,1.0847765773363722,0.4826388888888889,2.202181860296956,0.0,0.0,0.00015119722340953905,0.00023649937459942436,0.0003294923107670254,1.9238197438200606,1.6768968135749358,1.4441678998817697,0.7478129764032088,1.0,1.0,1,0,0,0,0.04513888888888889,27,0.04513888888888889,27,-0.38605224257599524,1.8479849361632799,0.010798083202266495,-0.0014991550217149374,0.023640309615402533,-0.0014991550217149374,-1,-1.0
2023-02-22 02:00:00+00:00,1.06573,1.06599,1.06566,1.06571,344.0,2,2,1,0,0,0,0,1.0,0.00032999999999994145,0,-102.6,1.0,0.0,1.0656790704528496,1.0653853572833403,1.0656505062828987,1.0657325187558422,1.0665881663245875,1.0696944669439472,1.0673406065608924,1.0695547701692625,-1,-1,-3.7305749517102526e-06,33.83941413531073,-1,0,0,-0.2645794449063904,0.3079065585376356,0.0002813757749215037,1.8350459321052912e-06,0,0.05,0.005,0.0,0,0.0,0.0,0,1.1552011611469921,0.5416666666666666,2.349025777852586,1.1550222357308477,0.5590277777777778,2.4743735119026153,0.0,0.0,0.00014069072311705108,0.00021688909391133647,0.00029955092608112464,2.1132609560670734,1.896900938789213,1.6518465720635689,1.0,1.0,1.0,0,0,0,0,0.06944444444444445,15,0.04652777777777778,15,0.22037974987376274,-0.32150486284580276,0.0017860332202179752,-0.003133593998465911,0.003767507134716741,-0.007006885756082104,-1,-1.0
2025-06-06 16:55:00+00:00,1.13895,1.139,1.13858,1.1387,547.0,16,4,0,0,1,0,1,1.0,0.00042000000000008697,0,-152.8,1.0,0.0,1.1394384870760883,1.1397514611050672,1.1415204978202935,1.1415529190361993,1.1418828566746384,1.1383670844698663,1.1411041289128458,1.138400342979815,0,1,-9.233300370081743e-06,14.13092171975102,-1,0,0,-0.1508948979676691,0.8288805530867017,0.0006052734691081136,-9.362915194207678e-06,0,0.105,0.02,0.0,0,0.0,0.0,0,1.1249411464165928,0.5555555555555556,2.646624755865401,1.0711479296422854,0.5625,2.326071860114324,0.0,0.0,0.00011361777035041287,0.00019024283113579617,0.00027241846187068365,2.065146343353829,1.806802262441087,1.5180636387510138,1.0808310746130463,0.983558852938501,1.0,3,0,0,0,0.03819444444444445,16,0.049305555555555554,16,-1.2108539635036877,-0.2519294900894202,0.0009493503981996554,-0.0059883375816195406,0.0038259459078247016,-0.009171278410079697,0,1.0
2023-11-02 22:05:00+00:00,1.06208,1.06215,1.06208,1.06215,8.0,22,3,0,0,0,0,0,1.0,7.00000000000145e-05,-1,28.6,1.0,0.0,1.0621055740278067,1.062208757436606,1.0618288616348546,1.0616132430048504,1.060054604649167,1.0586312235140682,1.0594431840763878,1.0586330300570002,1,1,1.6768885082285579e-06,13.079523180000345,1,0,0,-0.37864547227707585,0.44869177533918636,0.0001899631618083049,-3.888026855489933e-07,0,0.06,0.025,0.0,0,0.0,0.0,0,1.1540557753387568,0.4652777777777778,2.3654971862160985,1.151763128983697,0.5243055555555556,2.268436238293893,0.0,0.0,9.810168577930162e-05,0.0001696666753433889,0.00023826237025466462,2.0130689517350215,1.7556993610688318,1.487398686588123,1.0,1.0,1.0,0,0,0,0,0.04861111111111111,54,0.05,54,-0.16382454768820262,0.6436371918090732,0.00439716312056726,-0.0040320690140184245,0.009389225198855655,-0.004144125561379108,0,1.0
2023-10-01 23:05:00+00:00,1.05586,1.05603,1.05586,1.05598,160.0,23,6,0,0,0,0,0,1.0,0.00017000000000000348,-1,-84.5,1.0,0.0,1.0562783932991215,1.0566855641782675,1.0575617028852942,1.0566925877579747,1.0567642628462286,1.0600780864710841,1.0568937948628707,1.0597924662435152,-1,-1,-1.5693211664613571e-06,17.32785265495542,-1,0,0,-0.22781546195198288,0.4214133051449678,0.00028680402583690774,-7.861863197336261e-06,0,0.055,0.025,0.0,0,0.0,0.0,0,0.9931709253809187,0.4652777777777778,2.371945857488343,1.107002426634533,0.53125,2.2272337332230543,0.0,0.0,9.268949231996719e-05,0.00017926083772821488,0.00025089429224882674,1.9646358517509839,1.7287148082185344,1.4568178345975946,1.0,1.0,1.0,0,0,0,0,0.03819444444444445,13,0.044444444444444446,13,-1.12307867655395,0.08254997366154931,0.00011365143106090159,-0.005256415087230293,0.006759526737789345,-0.008888263175184319,1,-1.0
2023-03-31 07:00:00+00:00,1.09038,1.09107,1.09018,1.09027,855.0,7,4,1,1,0,0,1,1.0,0.0008900000000000574,1,203.9,1.0,0.0,1.0899450301119784,1.0901565465867749,1.089915810762362,1.0895735464763106,1.0874790575444897,1.0812987417666817,1.0858114870283457,1.0814299716635203,1,1,1.0224261635505272e-05,25.304175439591255,1,0,0,-0.42583043927089387,1.5188704657753251,0.00039490361864885957,1.0192581116084096e-05,0,0.05,0.02,0.0,0,0.0,0.0,0,1.2080704223069119,0.5625,2.290532616198471,1.1805169151880583,0.5416666666666666,2.2107749348335197,0.0,0.0,0.00010640381061119585,0.0001739990265975709,0.0002552709263078527,2.000090049714275,1.716582497177527,1.4158550923756412,1.1908540224163962,1.1312445332782393,1.0,3,0,0,0,0.04861111111111111,13,0.041666666666666664,13,0.13574060813149813,0.15486992449522413,0.006783234898661172,-0.0018767394170206009,0.01709983767748202,-0.0018767394170206009,1,-1.0
2023-10-02 13:05:00+00:00,1.05264,1.05294,1.05241,1.05289,473.0,13,0,0,1,1,1,0,1.0,0.0005299999999999194,1,-50.4,1.0,0.0,1.053219130520161,1.0539538991612314,1.0557789733557355,1.0553319450253476,1.0561366459970702,1.0594797107552567,1.0559330084703604,1.058961771597486,-1,-1,-3.082027985268354e-07,27.988680702841734,0,0,0,0.20779502604110597,0.7365747586811889,0.0004479138491934145,2.519679333692421e-06,0,0.075,0.02,0.0,0,0.0,0.0,0,1.2309420721583293,0.5763888888888888,2.331958038025465,1.166776264194148,0.5347222222222222,2.2592496537830438,0.0,0.0,0.00010314464035074087,0.00017437682199487919,0.0002452764217755699,2.0299447513230184,1.7751735044507797,1.4996384786447352,1.038183193887899,1.0259952085329502,1.004159623374293,3,0,0,0,0.04513888888888889,3,0.04583333333333333,3,-1.2824171508480173,0.1527814605688774,0.00027550826524813665,-0.007286163554549363,0.0038135552822506913,-0.008167225592524141,1,-1.0
2023-08-24 05:15:00+00:00,1.08729,1.08743,1.08722,1.08738,163.0,5,3,1,0,0,0,0,1.0,0.00020999999999982144,0,139.4,1.0,0.0,1.0868504124976148,1.0866650131810263,1.0859760630348445,1.0859523042462964,1.0860912119164092,1.0891690984372109,1.0865187473846876,1.0889113382196907,-1,-1,2.8646625645611932e-06,24.47365468264304,1,0,0,0.5822446693115387,1.1164956249527769,0.00021480446212967418,6.672298795258629e-07,0,0.02,0.005,0.0,0,0.0,0.0,0,1.2747529599237386,0.5833333333333334,2.641347927571491,1.1827886182598255,0.5659722222222222,1.2765495543651353,0.0,0.0,0.00011050604305725607,0.0001876828220180971,0.00032719812646379284,1.2394962247767385,0.9561041281798898,0.7151861027970369,1.0614005446640418,1.0388192488903543,1.0,0,0,0,1,0.027777777777777776,0,0.043055555555555555,0,0.5085658140682752,0.7392932369036774,0.0064792017623429565,0.0,0.0064792017623429565,-0.005078092833026515,-1,-1.0
2024-09-06 17:25:00+00:00,1.10876,1.10892,1.10865,1.1087,347.0,17,4,0,0,1,0,0,1.0,0.00026999999999999247,0,59.5,1.0,0.0,1.1081165955708119,1.1087571804579797,1.1100579900423357,1.1100381145231117,1.1094410365410512,1.108453783102283,1.1087750994538776,1.1084697724800645,1,1,1.2498631901869395e-05,12.887427642925203,1,0,0,0.009723977243594011,0.5165745121733241,0.0006576818966612134,-1.3103313459805028e-05,0,0.125,0.06,0.0,0,0.0,0.0,0,0.9965184778716307,0.5277777777777778,2.567347285520659,1.179217687389064,0.5451388888888888,1.9941232008875842,0.0,0.0,9.149854206070096e-05,0.0001643659819920429,0.0002678745673696599,1.9439421053716468,1.5974410161013934,1.2381970187370375,1.059809395235286,1.0,1.0,3,0,0,0,0.052083333333333336,1,0.04722222222222222,1,-0.6900614311154222,1.1854341326993294,0.00184338459870248,-0.004221304113526059,0.005450307883448691,-0.004221304113526059,-1,-1.0
2023-10-19 05:05:00+00:00,1.05314,1.05344,1.05314,1.05342,211.0,5,3,1,0,0,0,0,1.0,0.00029999999999996696,1,25.5,1.0,0.0,1.0533390822398518,1.0534678583186299,1.0541647986717488,1.054210685705009,1.054948829300457,1.0555812943681744,1.0550741806630932,1.0555448835734333,-1,-1,1.8683334618296854e-06,25.435775191293274,1,0,0,-1.176270869190301,3.931033915092068,0.00018735967947731456,1.1129193902099776e-06,0,0.045,0.01,0.0,0,0.0,0.0,0,1.2069084251518167,0.6041666666666666,2.467323266510611,1.1682857841281185,0.5659722222222222,2.1209803419029845,0.0,0.0,0.00010149270430869494,0.00017052439181878287,0.00023632909914734224,1.9551134253827132,1.710526691707706,1.481334515655925,1.0,1.0,1.0,0,0,0,0,0.041666666666666664,123,0.04097222222222222,123,-0.6825496895502493,-0.7736178163293902,0.0009597020172746884,-0.005400608040485588,0.003562990625714635,-0.009813321301675004,1,1.0
