time,open,high,low,close,volume,hour_of_day,day_of_week,is_asian_session,is_london_session,is_ny_session,is_overlap_session,session_transition,news_release_proximity,spread_proxy,volume_regime,obv_slope,tick_volume_ratio,order_flow_imbalance,ema_20,ema_50,ema_200,ema20_h1,ema50_h1,ema200_h1,ema20_h4,ema50_h4,ema_alignment_h1,ema_alignment_h4,ema_slope_acceleration,trend_strength_index,momentum_regime,macd_divergence,rsi_divergence,returns_skew_rolling,returns_kurt_rolling,atr_14,vol_expansion_rate,var_breach,var_breach_frequency,extreme_move_frequency,garch_forecast,vix_regime,put_call_ratio,commitment_traders,sentiment_extremes,shannon_entropy_sign_w144,sign_change_rate_w144,price_range_entropy_w144,shannon_entropy_sign_w288,sign_change_rate_w288,price_range_entropy_w288,power_mean_p-2.0,power_mean_p-1.0,power_mean_p0.0,power_mean_p1.0,power_mean_p2.0,renyi_entropy_q0.5,renyi_entropy_q1.0,renyi_entropy_q2.0,fractal_dim_14,fractal_dim_30,fractal_dim_60,volatility_regime,mlfinpy_cusum_event,mlfinpy_z_score_event,cusum_event,cusum_event_rate_w288,time_since_last_event_w288,cusum_event_rate_w1440,time_since_last_event_w1440,one_sided_dev_z_w288,one_sided_dev_z_w1440,max_drawup_w288,max_drawdown_w288,max_drawup_w1440,max_drawdown_w1440,side
2023-10-17 11:00:00+00:00,1.05533,1.05563,1.05532,1.05552,379.0,11,1,0,1,0,0,0,1.0,0.00031000000000003247,0,-66.5,1.0,0.0,1.0551195634039676,1.0548775603169664,1.0547641216756585,1.0549634659171763,1.0545824735022649,1.0555861414674603,1.054911297961326,1.0555677548830373,0,-1,-7.913737768783235e-06,24.755698505888283,-1,0,0,0.5376977999322462,3.3189025283843554,0.0004428346020540848,4.515851700584081e-06,0,0.08,0.015,0.0,0,0.0,0.0,0,1.1540557753387568,0.5486111111111112,2.1245272731453517,1.195675815529473,0.5729166666666666,2.268328074565836,0.0,0.0,0.00010807411078513262,0.00015988568351124686,0.00021866331549888905,1.9923320708333856,1.7485066676843781,1.5451661731180608,1.0,1.0,1.0,3,0,0,0,0.041666666666666664,6,0.03819444444444445,6,-0.09640707249588762,-0.7436411961609583,0.002659776578767259,-0.0007005850832183524,0.005563600335340313,-0.007839377361682942,1
2023-10-13 11:00:00+00:00,1.05179,1.05179,1.05142,1.05168,449.0,11,4,0,1,0,0,0,1.0,0.00036999999999998145,0,-263.1,1.0,0.0,1.0526983948342237,1.0535608173822535,1.0545817747858792,1.054558075489302,1.0566010322678787,1.0566926047839245,1.057093400502175,1.056774506509369,-1,1,9.780577754359143e-08,46.70663129198359,0,0,0,0.22835668005933568,1.8353676912017403,0.0004184201427933698,4.316603712305471e-06,0,0.065,0.025,0.0,0,0.0,0.0,0,1.1252253891288153,0.5694444444444444,2.271579735021769,1.1540557753387568,0.5555555555555556,1.6818991836369113,0.0,0.0,9.904097659368591e-05,0.0001728250263826344,0.00027095828106807264,1.665903848085554,1.4060328576423893,1.1454837218630267,1.0617761975867006,1.010124217273699,1.0230309686553465,3,1,0,0,0.03819444444444445,8,0.044444444444444446,8,-0.6181702484397607,-0.8949071554103222,0.0,-0.01012763073679468,0.0020867278392360245,-0.011448874851954227,-1
2023-01-23 10:55:00+00:00,1.09019,1.0906,1.08975,1.08992,405.0,10,0,0,1,0,0,0,1.0,0.0008500000000000174,0,-82.2,1.0,0.0,1.0902984381139151,1.0901760909716296,1.0883795961121083,1.0887800446190474,1.0858649097257829,1.0803637567653586,1.0850828916900404,1.0809972030142825,1,1,-7.49439864069501e-06,16.26999178552355,-1,0,0,0.012040213525683203,0.8935165095867014,0.0005584624594416671,-3.069372247720007e-06,0,0.035,0.015,0.0,0,0.0,0.0,0,1.090431791292553,0.4930555555555556,2.5262661592206013,1.122381243338059,0.4861111111111111,2.5341572026896895,0.0,0.0,0.00012197277744223407,0.00021394734519627958,0.0002917642131141598,2.1309585636626687,1.9272251096508934,1.6757784677830951,1.0,1.0,1.0,3,0,0,0,0.059027777777777776,5,0.049305555555555554,5,0.4105150949610919,0.15917783458763268,0.008755530052015015,-0.001840777339206734,0.012193649643848836,-0.001840777339206734,1
2023-02-21 10:55:00+00:00,1.06531,1.06536,1.06455,1.06486,607.0,10,1,0,1,0,0,0,1.0,0.0008099999999999774,1,-227.2,1.0,0.0,1.0658900098566724,1.0663179986828053,1.0671527588420278,1.0671666132387705,1.0676470886445255,1.0704337350219753,1.067991262686512,1.0701596402623204,-1,-1,-5.438370414112548e-06,20.604194643060545,-1,0,0,-0.29594339003198294,1.17145095687244,0.0006730493382506241,-7.700409084914785e-06,0,0.115,0.035,0.0,0,0.0,0.0,0,1.2045824732418318,0.5347222222222222,2.4201279679849055,1.3127860625072822,0.5694444444444444,2.1789825272497727,0.0,0.0,9.992519573383472e-05,0.0001527150120823128,0.00022254410473029987,1.9580273161399815,1.6656083265158157,1.3831165453588135,1.154722594798636,0.8867503919971761,1.0,3,0,0,0,0.04513888888888889,8,0.04861111111111111,8,-1.0015074587804627,-0.6849686921786722,0.0,-0.004105681552490137,0.002966911868589328,-0.011904474821752942,-1
2023-12-28 03:20:00+00:00,1.11178,1.1118,1.11168,1.11168,186.0,3,3,1,0,0,0,0,1.0,0.00011999999999989797,0,58.4,1.0,0.0,1.1115757310602261,1.1113580469794972,1.109671226681509,1.109526816495472,1.1065243994924183,1.09914043851492,1.1050010972207953,1.0997227250146422,1,1,5.862879470774907e-06,22.57151565925883,1,0,0,-0.46358051693074037,0.9912188307626358,0.0002283893115882349,-9.199481949865018e-07,0,0.05,0.015,0.0,0,0.0,0.0,0,1.2256676577924475,0.5694444444444444,2.4380726700493365,1.2063380093016287,0.5555555555555556,2.184465168668894,0.0,0.0,9.658852672211901e-05,0.000147830549306532,0.00021273421198421603,1.979655069820239,1.6915670961331344,1.3876455822500997,1.0,1.0,0.8612655077104809,0,0,0,0,0.06597222222222222,18,0.04722222222222222,18,0.8111432564817481,1.0780634279089503,0.007613661083315071,-0.0004495675160495205,0.016932407585279474,-0.0004495675160495205,1
2023-11-13 12:00:00+00:00,1.06871,1.06879,1.06789,1.06803,365.0,12,0,0,1,1,1,1,1.0,0.0008999999999999009,1,-41.5,1.0,0.0,1.068834649237075,1.0689732123181803,1.0686786777948805,1.0686096102526457,1.0685136752413589,1.0669690215514727,1.0686677685311003,1.0672621538502776,1,1,-7.26776457415923e-06,20.446320091482995,-1,0,0,-0.5798070808634629,1.2213124630794194,0.00036751696653739837,2.2349549985868763e-07,1,0.045,0.02,0.0,0,0.0,0.0,0,1.1252253891288153,0.5694444444444444,2.5195975599885734,1.1550222357308477,0.5972222222222222,2.2238920099184125,0.0,0.0,9.771916767411894e-05,0.00015390712089926418,0.0002168154111894768,1.9723091493095337,1.7231799800482859,1.430465579433028,1.2311733068786634,1.2111651659131915,1.2111651659131915,3,1,0,0,0.03125,7,0.041666666666666664,7,0.04322134571106595,-1.5956462142609853,0.0013688740542112665,-0.0018411214953271138,0.0020735208571804886,-0.0067239551364322026,-1
2023-11-23 12:00:00+00:00,1.09146,1.09151,1.09117,1.09117,197.0,12,3,0,1,1,1,1,1.0,0.00034000000000000696,0,52.4,1.0,0.0,1.091559913284841,1.0914706012884634,1.090520370261857,1.0905513977113235,1.0906565273048086,1.0858743150902799,1.0905787380534413,1.0864554055698141,0,1,-2.086495358932794e-07,12.920849421341618,0,0,0,0.7491246954469131,2.905529704197753,0.0003291029631036043,-7.288749810563551e-06,0,0.055,0.015,0.0,0,0.0,0.0,0,1.1601775315776601,0.5416666666666666,2.263137922466997,1.1900981479559003,0.5451388888888888,2.142447022320218,0.0,0.0,0.00010416337068177394,0.00016839040971944214,0.000244468723951479,1.9180328959779267,1.6526919013706163,1.369556368134997,1.0446690493338218,0.8008773579864047,1.0,3,1,0,0,0.041666666666666664,25,0.04791666666666667,25,0.7392550717426759,-0.9287658461594274,0.005334537212773327,-0.001061950143271817,0.007785802685778664,-0.00483369358030783,1
2023-11-16 12:00:00+00:00,1.08522,1.08531,1.08497,1.08503,328.0,12,3,0,1,1,1,1,1.0,0.00034000000000000696,1,2.7,1.0,0.0,1.0851068470370264,1.0849102206802597,1.084631160612437,1.0846053655025665,1.0828774790722815,1.074432766793627,1.0813917423100978,1.075202199374294,1,1,-1.3933203298455155e-06,13.423021951727062,0,0,0,0.37409194203686413,0.36906128231381063,0.0003178162307641976,-1.8458705096082004e-06,0,0.05,0.005,0.0,0,0.0,0.0,0,1.0525152515507228,0.5,2.8330424221153776,1.1246924027545186,0.5173611111111112,1.983614262622864,0.0,0.0,0.0001001484310923457,0.00015253905037335377,0.00021611316102703362,1.8806832735475913,1.5647415726296043,1.297123216770317,1.0,0.9630057925178657,1.0,3,0,0,0,0.04513888888888889,7,0.03888888888888889,7,-0.14607191674599115,0.9287584762976772,0.0016894387001478162,-0.0018949672980157484,0.01802368129702936,-0.003316064079953107,1
2023-07-19 10:10:00+00:00,1.12252,1.12256,1.12201,1.12201,343.0,10,2,0,1,0,0,0,1.0,0.0005500000000000504,0,-196.3,1.0,0.0,1.1229104939269965,1.1227453564138403,1.122766777851043,1.122759768564402,1.1228555436228254,1.1136641810960428,1.1219519083904503,1.1144340780971076,0,1,-1.8469721620473224e-05,19.119282140589323,-1,0,0,0.014618827087963079,2.2783139438070656,0.00047619122463742877,-8.241537630020933e-06,0,0.045,0.035,0.0,0,0.0,0.0,0,1.0866161717176113,0.5347222222222222,2.170278561436523,1.0911376381372087,0.4965277777777778,2.3037495942083344,0.0,0.0,0.00010046998442860672,0.0001840619313889305,0.0002643702422852317,2.0359761142115977,1.7698636363625693,1.483777037976816,1.1895413943340223,1.0,1.0,3,0,0,1,0.04861111111111111,0,0.049305555555555554,0,-0.31824600360606975,-0.6730064017844781,0.0019288297539847843,-0.0033045223987989703,0.018647807021525686,-0.004886831275720316,1
2023-04-14 09:55:00+00:00,1.10593,1.10639,1.10584,1.10626,363.0,9,4,0,1,0,0,1,1.0,0.0005500000000000504,1,65.7,1.0,0.0,1.10602669052875,1.1062184236428059,1.1055835976868376,1.1053325580046829,1.1018925356408782,1.0941672231950423,1.0996620927580478,1.0945049927792576,1,1,5.101120100925449e-06,13.333120594384805,1,0,0,0.4679025522204766,1.2081720504524536,0.0003645353465400892,-1.7860978168907765e-06,0,0.045,0.01,0.0,0,0.0,0.0,0,1.1547717145751626,0.5555555555555556,2.3935632586412052,1.2526614366389652,0.5590277777777778,2.180921241901737,0.0,0.0,0.0001065042083226873,0.00016719412025110975,0.00024267695530324704,1.978846664708388,1.6792294752263215,1.3458428055740512,1.0,1.0,1.0,3,1,0,0,0.03125,22,0.04236111111111111,22,-0.6055261169788261,1.0046095523955247,0.004786601149874281,-0.0010474797276552872,0.02121335204194663,-0.0010474797276552872,-1
