time,open,high,low,close,volume,hour_of_day,day_of_week,is_asian_session,is_london_session,is_ny_session,is_overlap_session,session_transition,news_release_proximity,spread_proxy,volume_regime,obv_slope,tick_volume_ratio,order_flow_imbalance,ema_20,ema_50,ema_200,ema20_h1,ema50_h1,ema200_h1,ema20_h4,ema50_h4,ema_alignment_h1,ema_alignment_h4,ema_slope_acceleration,trend_strength_index,momentum_regime,macd_divergence,rsi_divergence,returns_skew_rolling,returns_kurt_rolling,atr_14,vol_expansion_rate,var_breach,var_breach_frequency,extreme_move_frequency,garch_forecast,vix_regime,put_call_ratio,commitment_traders,sentiment_extremes,shannon_entropy_sign_w144,sign_change_rate_w144,price_range_entropy_w144,shannon_entropy_sign_w288,sign_change_rate_w288,price_range_entropy_w288,power_mean_p-1.0,power_mean_p1.0,power_mean_p2.0,renyi_entropy_q0.5,renyi_entropy_q2.0,fractal_dim_14,fractal_dim_30,fractal_dim_60,volatility_regime,mlfinpy_cusum_event,mlfinpy_z_score_event,sadf_log_tstat,sadf_log_crit,sadf_log_break,cusum_event,cusum_event_rate_w288,time_since_last_event_w288,cusum_event_rate_w1440,time_since_last_event_w1440,one_sided_dev_z_w288,one_sided_dev_z_w1440,max_drawup_w288,max_drawdown_w288,max_drawup_w1440,max_drawdown_w1440,label
2024-04-17 00:40:00+00:00,1.06211,1.06215,1.06193,1.06195,164.0,0,2,1,0,0,0,1,1.0,0.00021999999999988695,0,18.1,1.0,0.0,1.0620467738169128,1.0620157395630885,1.0622934326041666,1.0623883136420622,1.0635482773816052,1.0717874531690594,1.065041979583885,1.0710905046185644,-1,-1,-1.3702679128257956e-06,16.57776802698739,-1,0,0,0.6731783659715791,4.21816826448516,0.00020607164579585592,3.0412621621458766e-06,0,0.065,0.005,0.0,0,0.0,0.0,0,1.0894432129154943,0.5277777777777778,2.3634728669238245,1.1399484427040663,0.5381944444444444,2.303842766844487,0.0,0.00020089606615622072,0.0002882841017129026,1.970711883803517,1.464923459356716,1.0,0.9450916588976586,1.0,0,0,0,0.0,0.0,0.0,0,0.0625,52,0.04097222222222222,52,0.40059154357419957,-0.754420782981638,0.0013861647555821754,-0.0029855510594950507,0.0013861647555821754,-0.022649462523928743,1
2023-02-22 03:20:00+00:00,1.06618,1.06623,1.06591,1.06593,181.0,3,2,1,0,0,0,0,1.0,0.000320000000000098,0,39.1,1.0,0.0,1.0658176121034395,1.0655825548974218,1.0656670357797429,1.0657541835614652,1.0665632669890588,1.069654877360916,1.0673406182059748,1.0695550105235825,-1,-1,2.201628927500643e-06,22.606596270939562,1,0,0,-0.07726399407418683,0.15392261206736693,0.0002947452421722671,1.3442943760562874e-06,0,0.025,0.005,0.0,0,0.0,0.0,0,1.1553442905235949,0.5416666666666666,2.3728260953435583,1.1553442905235949,0.5694444444444444,2.0603440686413492,0.0,0.0001679704854905971,0.00022696291060049538,1.9413024395273282,1.5255741666552771,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,0.06597222222222222,31,0.043055555555555555,31,0.3540133920803119,-0.18571241268678618,0.0019928370667694484,-0.002927805735880029,0.003974720027126066,-0.006764878539680774,-1
2023-04-25 03:10:00+00:00,1.10557,1.10568,1.10553,1.10561,161.0,3,1,1,0,0,0,0,1.0,0.0001500000000000945,0,-82.0,1.0,0.0,1.1055442529802617,1.1055066491906296,1.1038274166897564,1.1036503918051077,1.1011075189709347,1.0975064202138836,1.1000822342612238,1.0977130701874105,1,1,3.6528417240999644e-06,20.234663387043163,1,0,0,-0.10773967810004223,4.542086995447785,0.00025146367664498034,-1.8589432625154783e-06,0,0.03,0.015,0.0,0,0.0,0.0,0,1.2326602568158205,0.5208333333333334,2.299871637251956,1.1950697187399353,0.5243055555555556,1.8729129607419868,0.0,0.0001134092183224607,0.0001585820737282796,1.9471171006808443,1.4911406057455545,0.9867031773864552,1.0,1.0,1,0,0,0.0,0.0,0.0,0,0.041666666666666664,14,0.04513888888888889,14,0.6299433230869983,1.1140459525797866,0.007573134056320097,-0.0009397731893552308,0.012491185655283399,-0.0009397731893552308,1
2023-03-09 04:25:00+00:00,1.0548,1.05503,1.05479,1.05492,93.0,4,3,1,0,0,0,0,1.0,0.00024000000000001798,0,10.4,1.0,0.0,1.0547214286140154,1.0546214160866736,1.0547062835865786,1.0548400751466387,1.0570082668032663,1.0608342714625156,1.0582420449144823,1.0605477666807879,-1,-1,-2.3152257384140283e-06,15.368656084688318,0,0,0,-0.3311537596836576,0.6864883528642406,0.0001820526909045164,-2.8698141836881206e-06,0,0.05,0.025,0.0,0,0.0,0.0,0,1.2467557002025407,0.5416666666666666,2.4872441471182944,1.1937217146266916,0.5520833333333334,1.3503119777474895,0.0,0.00012694978328393737,0.00017457549450404036,2.0269560181569033,1.5991705862358176,0.8408014051506982,1.0,1.0,0,0,0,0.0,0.0,0.0,0,0.020833333333333332,138,0.03958333333333333,138,1.494157967998734,-0.921218477897333,0.0022611967241150666,-0.0022321428571427937,0.0022611967241150666,-0.013484953335702321,1
2023-08-30 20:35:00+00:00,1.09225,1.09231,1.09224,1.09231,198.0,20,2,0,0,1,0,0,1.0,6.999999999979245e-05,-1,92.1,1.0,0.0,1.0922090131669313,1.0922110095044582,1.09041336000085,1.090130421554095,1.0870818676938085,1.0857673406618862,1.0862583009479512,1.0857804846486765,1,1,2.616930300192166e-06,11.270449967109753,1,0,0,1.4942972434930677,6.644855045641377,0.00015052726551258343,-5.328070511013302e-06,0,0.05,0.015,0.0,0,0.0,0.0,0,1.0881715090855733,0.4583333333333333,2.240363844170123,1.090820035968223,0.5104166666666666,1.9856960218905262,0.0,0.00022081099312335468,0.00030517964061245863,1.7322193081410877,1.4595124159771844,1.0,0.9904139511707397,1.0,0,0,0,0.0,0.0,0.0,0,0.024305555555555556,30,0.04097222222222222,30,-0.3555897244182512,0.8987193838578013,0.006190182297183933,-0.0019826767049192506,0.014215413184772485,-0.0019826767049192506,-1
2024-01-15 15:40:00+00:00,1.09386,1.09412,1.09386,1.09411,249.0,15,0,0,1,1,1,0,1.0,0.00025999999999992696,-1,105.4,1.0,0.0,1.0942868568980064,1.094516166197913,1.0951649350298212,1.0951509920739184,1.095604002981546,1.0960716723316792,1.0955113635523246,1.0960005271198021,-1,-1,2.179084159292799e-06,14.896035948002808,1,0,0,-0.07368100036552591,-0.04653043889793951,0.0003451158215283126,-1.646203128829516e-07,0,0.065,0.015,0.0,0,0.0,0.0,0,1.1547717145751626,0.4930555555555556,2.5685684931342707,1.167351447764388,0.5069444444444444,2.36797144760519,0.0,0.0001462250318854532,0.00019210163724344537,2.070080078354938,1.676551763349404,1.0,1.0,1.0,2,0,0,0.0,0.0,0.0,0,0.03819444444444445,19,0.04791666666666667,19,-0.5584625861673597,-0.29056325823301266,0.0006035941286752777,-0.002843524147170595,0.0027127342711816826,-0.004413263449079108,1
2025-06-11 04:00:00+00:00,1.14162,1.14162,1.14119,1.1413,158.0,4,2,1,0,0,0,0,1.0,0.0004300000000001525,0,-12.1,1.0,0.0,1.1415177185436403,1.1418175385132738,1.1421229318014288,1.1419721625974932,1.1417719674810995,1.1398327592828996,1.1417230434317513,1.1400196749741083,1,1,2.6866671773984054e-07,27.530039228807293,0,0,0,-0.6055201192535128,0.8696635545303156,0.0002988248271928875,-2.4796020497229452e-06,0,0.04,0.0,0.0,0,0.0,0.0,0,1.1552011611469921,0.5069444444444444,2.7009013569537936,1.1544495720880497,0.5173611111111112,2.0646223037597387,0.0,0.00014692863017293068,0.00019045735687871999,2.102496817354633,1.9004692086787636,1.0,0.9264188676189605,1.0,0,0,0,0.0,0.0,0.0,0,0.04861111111111111,25,0.04375,25,0.1764997688501321,-0.1593023701865353,0.0031378270767230543,-0.0028482560984134375,0.004842401831308463,-0.006908913716891174,1
2024-02-05 02:40:00+00:00,1.07785,1.07785,1.07769,1.07778,157.0,2,0,1,0,0,0,0,1.0,0.00015999999999993797,-1,146.5,1.0,0.0,1.0777269337450193,1.0778230906950845,1.0802326797045518,1.0781463909976015,1.0816385489017595,1.0844948390828306,1.0816367517324423,1.0839563825907068,-1,-1,-1.6975143354303057e-06,16.62133343503988,0,0,0,-0.5730449499885559,0.3306240674095017,0.0002510975680456732,-5.350611733022246e-06,0,0.035,0.005,0.0,0,0.0,0.0,0,1.1223812433380593,0.5486111111111112,2.1061267476342134,1.1535902840374381,0.5277777777777778,1.0846961099208199,0.0,0.0001754752990543667,0.00024453966201209857,1.7606413487596644,1.3816754152635962,0.809668787895943,0.9895833840545931,0.9935737308405963,0,0,0,0.0,0.0,0.0,0,0.024305555555555556,44,0.04097222222222222,44,-1.188018636706966,-0.21678757305564486,0.0007706950183388184,-0.010929713955345144,0.0007706950183388184,-0.010929713955345144,1
2023-05-03 10:25:00+00:00,1.10334,1.10362,1.10327,1.10362,295.0,10,2,0,1,0,0,0,1.0,0.0003500000000000725,0,-73.2,1.0,0.0,1.1038038908263321,1.103559413854097,1.1019307501048987,1.101725610822264,1.1005331804892995,1.1000098553415818,1.1008057313477893,1.1002386760310336,1,1,1.5672142517075827e-08,19.451122867561487,0,0,0,0.26070470777034244,0.4693213178673057,0.0004010300059266779,-4.113255372770647e-06,0,0.055,0.02,0.0,0,0.0,0.0,0,1.1209577349789406,0.5138888888888888,2.655307610539124,1.2045824732418315,0.5243055555555556,1.5889342800438397,0.0,0.000139610146514656,0.00018659155998883075,2.098609111474873,1.7609878105613013,1.0,0.8963773689258313,1.0,3,0,0,0.0,0.0,0.0,0,0.027777777777777776,38,0.03888888888888889,38,1.2226404242190403,-0.25936968642683694,0.00847999707586311,-0.0008600631920113733,0.00847999707586311,-0.005192089275090628,0
2023-03-27 16:50:00+00:00,1.07875,1.07908,1.07875,1.07879,323.0,16,0,0,0,1,0,1,1.0,0.00032999999999994145,-1,-68.2,1.0,0.0,1.0788141306308212,1.0784075609238717,1.0774929180830963,1.0773452882144232,1.0782243816120858,1.07511575794567,1.0784958309111163,1.0755464153739291,0,1,-7.290480069599425e-06,15.575882179590032,-1,0,0,0.28142391092769514,0.835353508129673,0.00037929690321001676,-7.598940388956274e-06,0,0.05,0.02,0.0,0,0.0,0.0,0,1.1540557753387568,0.5277777777777778,2.373314157268135,1.1693633469497997,0.5590277777777778,1.887081317384772,0.0,0.00024091745109811432,0.000336571741485959,1.921830631748389,1.4686867922532258,0.8511366140855378,1.0,1.0,0,0,0,0.0,0.0,0.0,0,0.03125,6,0.035416666666666666,6,1.166520025959933,-0.45276215928804586,0.0037963729750349895,-0.0005836467732672768,0.007725217651235017,-0.012540160550668644,1
