time,t1,t_value,ret,bin,side
2023-02-01 05:20:00,2023-02-02 05:10:00,49.91716464275282,0.014031245974642559,1.0,1.0
2023-02-01 06:20:00,2023-02-02 06:10:00,51.25833309130639,0.013344369338299522,1.0,1.0
2023-02-01 07:20:00,2023-02-02 06:20:00,49.68698455978591,0.012806722380046098,1.0,1.0
2023-02-01 08:20:00,2023-02-02 06:20:00,47.37576561368699,0.012769478280854951,1.0,1.0
2023-02-01 09:20:00,2023-02-02 06:15:00,45.594983627337776,0.012626355449365745,1.0,1.0
2023-02-01 10:20:00,2023-02-02 06:05:00,43.072904182707525,0.012560528516166958,1.0,1.0
2023-02-01 11:20:00,2023-02-02 05:55:00,40.4790464938518,0.011436123833212353,1.0,1.0
2023-02-01 12:20:00,2023-02-02 05:45:00,37.79989747287154,0.011787169977600653,1.0,1.0
2023-02-01 13:20:00,2023-02-02 05:25:00,34.28493555654491,0.011125888557670605,1.0,1.0
2023-02-01 23:20:00,2023-02-02 23:10:00,-40.353868250101904,-0.009773113494231711,-1.0,-1.0
2023-02-02 00:20:00,2023-02-03 00:10:00,-44.23684965902298,-0.011245030948793922,-1.0,-1.0
2023-02-02 01:20:00,2023-02-03 01:10:00,-46.42912982248321,-0.010632888404612628,-1.0,-1.0
2023-02-02 02:20:00,2023-02-03 02:10:00,-49.15825617216588,-0.011258398402033798,-1.0,-1.0
2023-02-02 03:20:00,2023-02-03 03:10:00,-48.83005600503768,-0.011082972524031343,-1.0,-1.0
2023-02-02 04:20:00,2023-02-03 04:10:00,-46.434415778919025,-0.011554240487946621,-1.0,-1.0
2023-02-02 05:20:00,2023-02-03 04:50:00,-42.76207541532648,-0.011723606006986964,-1.0,-1.0
2023-02-02 06:20:00,2023-02-03 04:50:00,-38.83417401276322,-0.011355796812025698,-1.0,-1.0
2023-02-02 07:20:00,2023-02-03 05:05:00,-35.18175135858228,-0.009961915669111754,-1.0,-1.0
2023-02-03 09:20:00,2023-02-06 00:50:00,-34.857959499798184,-0.011956461986696754,-1.0,-1.0
2023-02-05 22:20:00,2023-02-06 22:10:00,-35.299564889085765,-0.005784794519278047,-1.0,-1.0
2023-02-05 23:20:00,2023-02-06 23:10:00,-38.348228099155,-0.006345118889928392,-1.0,-1.0
2023-02-06 00:20:00,2023-02-06 23:55:00,-39.696476573426445,-0.005340008343763247,-1.0,-1.0
2023-02-06 01:20:00,2023-02-06 23:45:00,-41.12265316360358,-0.0059320227270620585,-1.0,-1.0
2023-02-06 02:20:00,2023-02-06 23:45:00,-41.74535142420634,-0.0060978435133958175,-1.0,-1.0
2023-02-06 03:20:00,2023-02-06 22:45:00,-41.17182687843692,-0.00637379333345689,-1.0,-1.0
2023-02-06 04:20:00,2023-02-06 22:15:00,-39.201213346632,-0.006668704326321828,-1.0,-1.0
2023-02-06 05:20:00,2023-02-06 22:15:00,-35.42371010342223,-0.006374206698475882,-1.0,-1.0
2023-02-08 18:20:00,2023-02-09 15:50:00,34.72520991349338,0.0031401708923861626,1.0,1.0
2023-02-08 19:20:00,2023-02-09 15:40:00,43.596214750865386,0.004018160968833673,1.0,1.0
2023-02-08 20:20:00,2023-02-09 15:25:00,53.119636879749315,0.005245326339564871,1.0,1.0
2023-02-08 21:20:00,2023-02-09 15:20:00,53.53725121241485,0.006020722486698382,1.0,1.0
2023-02-08 22:20:00,2023-02-09 15:20:00,52.383657193770894,0.006133422954125223,1.0,1.0
2023-02-08 23:20:00,2023-02-09 15:20:00,48.63776897409888,0.005992551314720984,1.0,1.0
2023-02-09 00:20:00,2023-02-09 15:20:00,45.24286873332994,0.005720311304380221,1.0,1.0
2023-02-09 01:20:00,2023-02-09 15:20:00,40.107740135823654,0.005673388263178092,1.0,1.0
2023-02-09 02:20:00,2023-02-09 15:20:00,36.56116470906556,0.0045579106313964335,1.0,1.0
2023-02-09 03:20:00,2023-02-09 15:20:00,35.72311937001113,0.004726479471976575,1.0,1.0
2023-02-09 20:20:00,2023-02-10 20:10:00,-35.00458721014163,-0.0058025818229233694,-1.0,-1.0
2023-02-09 21:20:00,2023-02-10 21:10:00,-37.166578778360915,-0.005133317184967012,-1.0,-1.0
2023-02-09 22:20:00,2023-02-12 22:10:00,-37.69386811354271,-0.005336636521965921,-1.0,-1.0
2023-02-09 23:20:00,2023-02-12 23:10:00,-36.59785303611144,-0.005931706226894762,-1.0,-1.0
2023-02-10 00:20:00,2023-02-13 00:10:00,-34.983999986523195,-0.005480779985832074,-1.0,-1.0
2023-02-10 01:20:00,2023-02-13 01:10:00,-34.68841848373512,-0.006407689227072466,-1.0,-1.0
2023-02-10 02:20:00,2023-02-13 02:10:00,-34.44278124622118,-0.006252096455592437,-1.0,-1.0
2023-02-12 23:20:00,2023-02-13 23:10:00,37.05959773718918,0.004271222637480143,1.0,1.0
2023-02-13 00:20:00,2023-02-14 00:10:00,44.65156243571511,0.005697525137518422,1.0,1.0
2023-02-13 01:20:00,2023-02-14 01:10:00,51.18757977364552,0.006527488605030829,1.0,1.0
2023-02-13 02:20:00,2023-02-14 02:10:00,51.43961632578219,0.005689487102579438,1.0,1.0
2023-02-13 03:20:00,2023-02-14 03:10:00,50.04741460526987,0.006244081716840988,1.0,1.0
2023-02-13 04:20:00,2023-02-14 04:10:00,48.36469997608129,0.006591654946085379,1.0,1.0
